artists,genres
"""Cats"" 1981 Original London Cast",show tunes
"""Cats"" 1983 Broadway Cast",
"""Fiddler On The Roof�?Motion Picture Chorus",
"""Fiddler On The Roof�?Motion Picture Orchestra",
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",
"""Mama"" Helen Teagarden",
"""Mista Dj Paul",
"""Test for Victor Young""",
"""Weird Al"" Yankovic",antiviral pop
$IMEON,
$NOT,east coast hip hop
$pyda,
$uicideBoy$,dark trap
'Be More Chill' Ensemble,
'In The Heights' Original Broadway Company,broadway
'Legally Blonde' Ensemble,broadway
'Legally Blonde' Greek Chorus,show tunes
'Little Women' Original Broadway Cast,
'Til Tuesday,boston rock
((( O ))),latin
(Con La Participación De Eros Ramazzotti),
(Con La Participación de Marc Anthony),
(G)I-DLE,k-pop
(Hed) P.E.,alternative metal
*NSYNC,boy band
44,
-,alternative pop rock
...And You Will Know Us by the Trail of Dead,alternative rock
...Bender,
03 Greedo,cali rap
070 Shake,alternative r&b
10 Ft. Ganja Plant,dub
10 Years,alternative metal
"10,000 Maniacs",dance rock
100 gecs,art pop
101 Strings Orchestra,adult standards
1017 Eskimo,
10cc,album rock
11��5��,dirty texas rap
112,atl hip hop
11:11,atl hip hop
12 Pianists,
12 Stones,alternative metal
1422,
1776 Ensemble,
1776 Orchestra,
1788-L,brostep
18 Carat Affair,chillwave
1910 Fruitgum Company,brill building pop
1986 Omega Tribe,future funk
1way Frank,florida rap
2 Brothers On The 4th Floor,bubblegum dance
2 Chainz,atl hip hop
2 Crows,
2 Guys n the Parque,
2 Hyped Brothers & A Dog,
2 In A Room,hip house
2 LIVE CREW,electro
2 Pistols,dirty south rap
2 Unlimited,bubblegum dance
2* Sweet,
20 Fingers,eurodance
20/20,atl hip hop
2002,healing
2014 ATHINAIKI DISCOGRAFIKI,
20th Century Fox Studio Orchestra,
21 Savage,atl hip hop
"22, Little Red, Tangle Eye & Hard Hair",
22Gz,nyc rap
24 Horas,bachata
24hrs,trap
24kGoldn,cali rap
27CLUB,emo rap
2Baba,afro dancehall
2CELLOS,bow pop
